Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %"
3,Trenčiansky kraj,301,Bánovce nad Bebravou,19,SRDCE vlastenci a dôchodcovia,17,0.08,9,52.94
3,Trenčiansky kraj,301,Bánovce nad Bebravou,20,SDKU - DS,6,0.02,3,50.0
3,Trenčiansky kraj,301,Bánovce nad Bebravou,21,Kotlebovci - Ľudová strana Naše Slovensko,228,1.09,178,78.07
3,Trenčiansky kraj,301,Bánovce nad Bebravou,22,Demokrati,418,1.99,341,81.57
3,Trenčiansky kraj,301,Bánovce nad Bebravou,23,Kresťanskodemokratické hnutie,1197,5.72,800,66.83
3,Trenčiansky kraj,301,Bánovce nad Bebravou,24,KARMA,16,0.07,7,43.75
3,Trenčiansky kraj,301,Bánovce nad Bebravou,25,REPUBLIKA,1137,5.43,993,87.33
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,1,Pirátska strana - Slovensko,176,0.34,111,63.06
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,2,PRINCÍP,24,0.04,17,70.83
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,3,Progresívne Slovensko,9532,18.87,6902,72.4
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,4,SPOLOČNE OBČANIA SLOVENSKA,38,0.07,20,52.63
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,5,OĽANO A PRIATELIA,3548,7.02,3001,84.58
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,6,Komunistická strana Slovenska,272,0.53,172,63.23
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,7,Maďarské fórum,22,0.04,14,63.63
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,8,Vlastenecký blok,40,0.07,35,87.5
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,9,"Modrí, Most - Híd",55,0.1,40,72.72
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,10,SPRAVODLIVOSŤ,46,0.09,23,50.0
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,11,Slovenské Hnutie Obrody,28,0.05,19,67.85
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,12,Sloboda a Solidarita,3296,6.52,2652,80.46
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,13,SME RODINA,1414,2.8,1164,82.31
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,14,MySlovensko,66,0.13,44,66.66
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,15,Slovenská národná strana,2981,5.9,2540,85.2
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,16,SMER - sociálna demokracia,13244,26.22,10925,82.49
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,17,HLAS - sociálna demokracia,8717,17.26,7110,81.56
