Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %"
1,Bratislavský kraj,104,Senec,108,Senec,19,SRDCE vlastenci a dôchodcovia,29,0.04,22,75.86
1,Bratislavský kraj,104,Senec,108,Senec,20,SDKU - DS,9,0.01,4,44.44
1,Bratislavský kraj,104,Senec,108,Senec,21,Kotlebovci - Ľudová strana Naše Slovensko,296,0.5,264,89.18
1,Bratislavský kraj,104,Senec,108,Senec,22,Demokrati,2569,4.37,2234,86.95
1,Bratislavský kraj,104,Senec,108,Senec,23,Kresťanskodemokratické hnutie,2887,4.92,2215,76.72
1,Bratislavský kraj,104,Senec,108,Senec,24,KARMA,36,0.06,26,72.22
1,Bratislavský kraj,104,Senec,108,Senec,25,REPUBLIKA,1968,3.35,1706,86.68
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,1,Pirátska strana - Slovensko,178,0.28,145,81.46
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,2,PRINCÍP,16,0.02,11,68.75
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,3,Progresívne Slovensko,8261,13.24,6244,75.58
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,4,SPOLOČNE OBČANIA SLOVENSKA,33,0.05,19,57.57
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,5,OĽANO A PRIATELIA,4756,7.62,4010,84.31
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,6,Komunistická strana Slovenska,65,0.1,47,72.3
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,7,Maďarské fórum,557,0.89,473,84.91
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,8,Vlastenecký blok,25,0.04,19,76.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,9,"Modrí, Most - Híd",1119,1.79,947,84.62
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,10,SPRAVODLIVOSŤ,13,0.02,8,61.53
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,11,Slovenské Hnutie Obrody,7,0.01,5,71.42
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,12,Sloboda a Solidarita,2041,3.27,1713,83.92
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,13,SME RODINA,874,1.4,738,84.43
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,14,MySlovensko,15,0.02,10,66.66
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,15,Slovenská národná strana,846,1.35,773,91.37
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,16,SMER - sociálna demokracia,8282,13.27,7057,85.2
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,17,HLAS - sociálna demokracia,3689,5.91,3096,83.92
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,18,SZÖVETSÉG - Magyarok,28921,46.37,24980,86.37
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,19,SRDCE vlastenci a dôchodcovia,24,0.03,15,62.5
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,20,SDKU - DS,10,0.01,7,70.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,21,Kotlebovci - Ľudová strana Naše Slovensko,170,0.27,147,86.47
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,22,Demokrati,743,1.19,620,83.44
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,23,Kresťanskodemokratické hnutie,674,1.08,520,77.15
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,24,KARMA,17,0.02,11,64.7
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,25,REPUBLIKA,1029,1.64,890,86.49
2,Trnavský kraj,202,Galanta,202,Galanta,1,Pirátska strana - Slovensko,162,0.31,109,67.28
2,Trnavský kraj,202,Galanta,202,Galanta,2,PRINCÍP,26,0.05,23,88.46
2,Trnavský kraj,202,Galanta,202,Galanta,3,Progresívne Slovensko,7126,14.04,5089,71.41
2,Trnavský kraj,202,Galanta,202,Galanta,4,SPOLOČNE OBČANIA SLOVENSKA,56,0.11,32,57.14
2,Trnavský kraj,202,Galanta,202,Galanta,5,OĽANO A PRIATELIA,5225,10.29,4510,86.31
2,Trnavský kraj,202,Galanta,202,Galanta,6,Komunistická strana Slovenska,215,0.42,153,71.16
2,Trnavský kraj,202,Galanta,202,Galanta,7,Maďarské fórum,152,0.29,129,84.86
2,Trnavský kraj,202,Galanta,202,Galanta,8,Vlastenecký blok,12,0.02,8,66.66
2,Trnavský kraj,202,Galanta,202,Galanta,9,"Modrí, Most - Híd",291,0.57,232,79.72
2,Trnavský kraj,202,Galanta,202,Galanta,10,SPRAVODLIVOSŤ,23,0.04,14,60.86
2,Trnavský kraj,202,Galanta,202,Galanta,11,Slovenské Hnutie Obrody,18,0.03,15,83.33
2,Trnavský kraj,202,Galanta,202,Galanta,12,Sloboda a Solidarita,2439,4.8,2009,82.36
2,Trnavský kraj,202,Galanta,202,Galanta,13,SME RODINA,1165,2.29,967,83.0
