Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Počet volebných okrskov,Počet potvrdených okrskových zápisníc,Podiel potvrdených okrskových zápisníc v %,Počet zapísaných voličov,Počet zúčastnených voličov,Účasť voličov v %,Počet odovzdaných obálok na hlasovanie,Podiel odovzdaných obálok v %,Počet platných hlasov spolu,Podiel platných hlasov spolu v %
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501727,Kvetoslavov,2,2,100.0,1483,1154,77.81,1152,99.82,1146,99.3
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,580597,Kyselica,1,1,100.0,204,153,75.0,153,100.0,152,99.34
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501735,Lehnice,2,2,100.0,2584,1650,63.85,1648,99.87,1621,98.24
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501743,Lúč na Ostrove,2,2,100.0,634,411,64.82,410,99.75,405,98.54
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555606,Macov,1,1,100.0,413,297,71.91,297,100.0,293,98.65
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555649,Mad,1,1,100.0,489,311,63.59,311,100.0,310,99.67
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555665,Malé Dvorníky,1,1,100.0,972,660,67.9,660,100.0,659,99.84
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501760,Medveďov,1,1,100.0,488,288,59.01,288,100.0,277,96.18
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501778,Mierovo,1,1,100.0,369,258,69.91,258,100.0,257,99.61
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501786,Michal na Ostrove,1,1,100.0,921,535,58.08,534,99.81,522,97.57
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501930,Ňárad,1,1,100.0,550,413,75.09,413,100.0,408,98.78
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501808,Nový Život,3,3,100.0,1853,1122,60.55,1121,99.91,1098,97.86
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501816,Ohrady,1,1,100.0,1121,705,62.89,705,100.0,692,98.15
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501824,Okoč,3,3,100.0,3138,1715,54.65,1714,99.94,1687,98.36
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501832,Oľdza,1,1,100.0,492,371,75.4,370,99.73,368,99.19
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501859,Orechová Potôň,2,2,100.0,1435,825,57.49,824,99.87,812,98.42
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501867,Padáň,1,1,100.0,729,411,56.37,411,100.0,405,98.54
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501883,Pataš,1,1,100.0,634,333,52.52,331,99.39,329,98.79
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,582522,Potônske Lúky,1,1,100.0,260,168,64.61,168,100.0,168,100.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555720,Povoda,1,1,100.0,801,496,61.92,496,100.0,485,97.78
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501891,Rohovce,1,1,100.0,872,572,65.59,572,100.0,563,98.42
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501875,Sap,1,1,100.0,440,284,64.54,284,100.0,280,98.59
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501905,Šamorín,9,9,100.0,10680,7197,67.38,7190,99.9,7111,98.8
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501913,Štvrtok na Ostrove,1,1,100.0,1476,947,64.15,945,99.78,932,98.41
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501921,Topoľníky,3,3,100.0,2602,1485,57.07,1483,99.86,1470,98.98
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555576,Trhová Hradská,2,2,100.0,1828,999,54.64,999,100.0,977,97.79
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501956,Trnávka,1,1,100.0,435,288,66.2,288,100.0,285,98.95
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501964,Trstená na Ostrove,1,1,100.0,523,363,69.4,353,97.24,349,96.14
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501972,Veľká Paka,1,1,100.0,836,584,69.85,584,100.0,578,98.97
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501981,Veľké Blahovo,1,1,100.0,1291,703,54.45,700,99.57,692,98.43
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555673,Veľké Dvorníky,1,1,100.0,1087,588,54.09,588,100.0,584,99.31
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501522,Veľký Meder,8,8,100.0,6915,3350,48.44,3350,100.0,3290,98.2
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555746,Vieska,1,1,100.0,357,244,68.34,244,100.0,237,97.13
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501999,Vojka nad Dunajom,1,1,100.0,472,350,74.15,349,99.71,345,98.57
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,502006,Vrakúň,2,2,100.0,2324,1333,57.35,1331,99.84,1313,98.49
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,502014,Vydrany,2,2,100.0,1552,867,55.86,867,100.0,844,97.34
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,502022,Zlaté Klasy,3,3,100.0,2738,1368,49.96,1363,99.63,1352,98.83
2,Trnavský kraj,202,Galanta,202,Galanta,503673,Abrahám,1,1,100.0,940,735,78.19,735,100.0,722,98.23
2,Trnavský kraj,202,Galanta,202,Galanta,503690,Čierna Voda,1,1,100.0,1162,718,61.79,706,98.32,706,98.32
2,Trnavský kraj,202,Galanta,202,Galanta,503703,Čierny Brod,1,1,100.0,1371,783,57.11,783,100.0,752,96.04
2,Trnavský kraj,202,Galanta,202,Galanta,555789,Dolná Streda,1,1,100.0,1428,1002,70.16,1002,100.0,990,98.8
2,Trnavský kraj,202,Galanta,202,Galanta,503746,Dolné Saliby,2,2,100.0,1710,1119,65.43,1119,100.0,1106,98.83
2,Trnavský kraj,202,Galanta,202,Galanta,503754,Dolný Chotár,1,1,100.0,278,141,50.71,141,100.0,141,100.0
2,Trnavský kraj,202,Galanta,202,Galanta,503665,Galanta,18,18,100.0,12441,8345,67.07,8339,99.92,8193,98.17
2,Trnavský kraj,202,Galanta,202,Galanta,503762,Gáň,1,1,100.0,684,500,73.09,500,100.0,494,98.8
2,Trnavský kraj,202,Galanta,202,Galanta,503771,Horné Saliby,2,2,100.0,2590,1714,66.17,1712,99.88,1690,98.59
2,Trnavský kraj,202,Galanta,202,Galanta,503789,Hoste,1,1,100.0,374,292,78.07,292,100.0,290,99.31
2,Trnavský kraj,202,Galanta,202,Galanta,503827,Jánovce,1,1,100.0,411,304,73.96,304,100.0,303,99.67
2,Trnavský kraj,202,Galanta,202,Galanta,503835,Jelka,3,3,100.0,3230,1903,58.91,1897,99.68,1861,97.79
2,Trnavský kraj,202,Galanta,202,Galanta,503843,Kajal,1,1,100.0,1262,746,59.11,743,99.59,734,98.39
2,Trnavský kraj,202,Galanta,202,Galanta,503860,Košúty,1,1,100.0,1541,1015,65.86,1015,100.0,1000,98.52
2,Trnavský kraj,202,Galanta,202,Galanta,503878,Kráľov Brod,1,1,100.0,905,552,60.99,552,100.0,546,98.91
2,Trnavský kraj,202,Galanta,202,Galanta,582638,Malá Mača,1,1,100.0,475,339,71.36,339,100.0,336,99.11
2,Trnavský kraj,202,Galanta,202,Galanta,555754,Matúškovo,2,2,100.0,1827,1306,71.48,1305,99.92,1292,98.92
2,Trnavský kraj,202,Galanta,202,Galanta,503924,Mostová,1,1,100.0,1306,798,61.1,798,100.0,786,98.49
2,Trnavský kraj,202,Galanta,202,Galanta,503959,Pata,2,2,100.0,2560,1825,71.28,1823,99.89,1783,97.69
2,Trnavský kraj,202,Galanta,202,Galanta,503967,Pusté Sady,1,1,100.0,501,367,73.25,367,100.0,363,98.91
2,Trnavský kraj,202,Galanta,202,Galanta,503975,Pusté Úľany,1,1,100.0,1468,1062,72.34,1060,99.81,1043,98.21
2,Trnavský kraj,202,Galanta,202,Galanta,504009,Sereď,13,13,100.0,12682,8560,67.49,8550,99.88,8484,99.11
2,Trnavský kraj,202,Galanta,202,Galanta,504017,Sládkovičovo,5,5,100.0,4337,2600,59.94,2593,99.73,2549,98.03
2,Trnavský kraj,202,Galanta,202,Galanta,504033,Šalgočka,1,1,100.0,367,252,68.66,252,100.0,249,98.8
2,Trnavský kraj,202,Galanta,202,Galanta,504041,Šintava,1,1,100.0,1405,1047,74.51,1046,99.9,1036,98.94
2,Trnavský kraj,202,Galanta,202,Galanta,504050,Šoporňa,3,3,100.0,3370,2234,66.29,2230,99.82,2211,98.97
2,Trnavský kraj,202,Galanta,202,Galanta,504076,Tomášikovo,1,1,100.0,1375,726,52.8,724,99.72,717,98.76
2,Trnavský kraj,202,Galanta,202,Galanta,504084,Topoľnica,1,1,100.0,754,541,71.75,541,100.0,536,99.07
2,Trnavský kraj,202,Galanta,202,Galanta,504106,Trstice,3,3,100.0,3218,2034,63.2,2034,100.0,2013,98.96
2,Trnavský kraj,202,Galanta,202,Galanta,504114,Váhovce,2,2,100.0,1743,1056,60.58,1053,99.71,1047,99.14
2,Trnavský kraj,202,Galanta,202,Galanta,504122,Veľká Mača,2,2,100.0,2056,1342,65.27,1341,99.92,1329,99.03
